2025-03-17 17:39:21,691 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'confusion_matrix') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/confusion_matrix/v1', 'fieldSettings': {'Actual': 'Actual', 'Predicted': 'Predicted', 'nPredictions': 'nPredictions'}, 'stringSettings': {'title': 'Confusion Matrix Curve'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'confusion_matrix_table'}], 'fields': []}]}]}}} None
2025-03-17 17:39:21,691 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'confusion_matrix') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/confusion_matrix/v1', 'fieldSettings': {'Actual': 'Actual', 'Predicted': 'Predicted', 'nPredictions': 'nPredictions'}, 'stringSettings': {'title': 'Confusion Matrix Curve'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'confusion_matrix_table'}], 'fields': []}]}]}}} None
2025-03-17 17:39:21,965 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_finish():2112] finishing run da24s011-indian-institute-of-technology-madras/neural-network-fashion-mnist/7eya52gy
2025-03-17 17:39:21,965 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_finish():2112] finishing run da24s011-indian-institute-of-technology-madras/neural-network-fashion-mnist/7eya52gy
2025-03-17 17:39:21,966 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-17 17:39:21,966 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-17 17:39:21,966 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_restore():2322] restore
2025-03-17 17:39:21,966 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_restore():2322] restore
2025-03-17 17:39:21,966 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_restore():2328] restore done
2025-03-17 17:39:21,966 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_restore():2328] restore done
2025-03-17 17:39:24,844 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-17 17:39:24,844 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-17 17:39:24,844 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-17 17:39:24,844 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-17 17:39:24,844 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_footer_sync_info():3917] logging synced files
2025-03-17 17:39:24,844 INFO    Thread-7 (_run_job):3865135 [wandb_run.py:_footer_sync_info():3917] logging synced files
2025-03-17 17:39:30,847 INFO    MsgRouterThr:3865135 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
